Text,Religious#Icon,Religious#Practices,Religious#Place,God,Religious#Group
যার চরিত্র কোন কালীমা নেই মানবজাতির সেরা শিক্ষক পৃথিবীতে এমন কোন যন্ত্র নেই যার চরিত্র মাপা যায় যার প্রেমে জীবন দিয়েছি সফে জানাবে মুহাম্মাদুর রাসুলুল্লাহ সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম,1,2,2,2,2
আল্লাহ আমাদের সহী বুঝ দান করুন।এবং মুহাম্মদ (স) এর জীবন থেকে শিক্ষা গ্রহনের জন্য বিশেষ জ্ঞান দান করুন।আমিন,1,2,2,1,2
রাসুল আমার ভালবাসা রাসুল আমার আলো আশা রাসুল আমার প্রেম বিরহের মুল আলচনা রাসুল আমার কাজে কর্মে অনুপ্রেরণা,1,2,2,2,2
নারীর সম্মান ইসলামই দিতে পারে,2,1,2,2,1
"সর্বোত্তম চরিত্রের অধিকারী রাসুল সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম দুনিয়ার মানবমণ্ডলীর জন্য অনুকরণ-অনুসরণযোগ্য ব্যক্তিত্ব, যে মহামানবের মহত্তম জীবনের প্রতিটি পর্যায়ে রয়েছে উত্তম আদর্শ।",1,2,2,2,2
নবীজি একজন দুধমা হালিমাকে সারাজীবন মায়ের মত সম্মান করেছেন তাতেই তিনি কত মহান,1,2,2,2,2
মহানবীর ভ্রাতৃত্ব ও আদর্শ ছড়িয়ে পড়ুক সবার মাঝে।,1,2,2,2,2
"ধন্যবাদ স্যার, ইসলামের এমন সৌন্দর্য গুলো ফুটিয়ে তুলতে প্রথম আলোর আরো ভূমিকা চাই।",2,2,2,2,1
হযরত মুহাম্মদ (সাঃ) এর উম্মত হিসাবে একবার শুকরিয়া আদায় করি!,1,1,2,2,2
মহান আল্লাহ আমাদেরকে পাপ'মুক্ত জীবন-যাপন করার তৌফিক দান করুন.!,2,1,2,1,2
জীবনে সবচেয়ে বড় চাওয়া আল্লাহ যেন ঘুমের ঘরে নবিজীকে ১ বার হলে ও স্বপ্নে দেখান,1,2,2,1,2
১৯০ কোটি মানুষের কলিজার টুকরো হলেনহযরত মুহাম্মাদ (সাঃ) আলহামদুলিল্লাহ,1,2,2,2,1
"মানসিক শান্তি'ই বড় শান্তি.!আর সেই শান্তি শুধুমাত্র ""নামাজের"" মাধ্যমে'ই পাওয়া যায়.!",2,1,2,2,2
"আল্লাহর উপর পরিপূর্ণ বিশ্বাস রাখুন, আপনার দোয়াও কবুল হবে,ইনশা'আল্লাহ",2,1,2,1,2
"মা নামক জান্নাত টা এখনো যাদের বেচেঁ আছে,,তারা শুকরিয়া আদায় করি আলহামদুলিল্লাহ",2,1,2,2,2
"ইয়া রব,যতটুকু হেদায়াত পেয়েছি তা হারিয়ে যেতে দিবেন না, আর যে পাপের জন্য তওবা করেছি সে পাপ পুনরায় হতে দিবেন না",2,1,2,1,2
জান্নাতের পানি দুধের চেয়ে সাদা এবং মধুর চেয়ে মিষ্টি হবে আলহামদুলিল্লাহ,2,1,2,2,2
শুকরিয়াঐ মহান রবের প্রতি..যিনি ঘুম নামক মৃত্যু থেকে জাগিয়ে ফজর সালাত আদায়ের তৌফিক দিয়েছেন,2,1,2,1,2
ইসলামি বিশ্ব রাশিয়ার ওপর আরোপিত পশ্চিমা নিষেধাজ্ঞাকে সমর্থন করে না।,2,2,2,2,1
ইসলাম বিশ্বের দ্বিতীয় বৃহত্তর ধর্ম।,2,2,2,2,1
মুসলিম সম্প্রদায়ের সদস্যরা সামাজিক পর্যায়ে সাধারণভাবে সামগ্রিক ভদ্রতা এবং সমাজের সদস্যরা প্রশংসা করে এবং তাদের পরিচয় সবার সাথে মিলে চলে আসে।,2,1,2,2,1
মুসলিম সম্প্রদায়ের সদস্যরা সমাজে শিক্ষার্থীদের শিক্ষা প্রদানে এবং প্রশাসনিক ক্ষেত্রে উদ্যোগী এবং উন্নতি করতে উৎসাহিত করেন।,2,1,2,2,1
"""ইসলাম"" শব্দের আক্ষরিক অর্থ ""শান্তি"" এবং ""আত্মসমর্পণ""",2,2,2,2,1
"আল্লাহ এর দুটি সর্বাধিক সাধারণ বৈশিষ্ট্য হল ""দয়াময় এবং দয়ালু""",2,2,2,1,2
ইসলামের ঈমানের ঘোষণা সহজ,2,2,2,1,1
ইসলামকে যত দাবিয়ে রাখার চেষ্টা করবে।ততো বেশি ছড়িয়ে যাবে,2,2,2,2,1
মুসলিমদের অবাক হওয়ার কিছু নেই।প্রিয় নবী বলে গেছেন মানে হবেই হবে। ইনশাআল্লাহ্,1,1,2,2,1
"মানুষ বুজে গেছে ইসলাম ধর্ম ই সেরা,,,আমি গর্বিত আমি মুসলিম,,, আলহামদুলিল্লাহ",2,2,2,2,1
আমার জীবনের সবচেয়ে বড় উপহার। আল্লাহ আমাকে ইসলাম ধর্ম দান করেছেন আমিন,2,2,2,1,1
"আলহামদুলিল্লাহ, এবাবেই একদিন মুসলমানরা পূরা পৃথিবী স্বাধীন করবে, ইনশাআল্লাহ",2,2,2,2,1
"আলহামদুলিল্লাহ, এভাবেই ইসলাম পৃথিবীর এক মাত্র সত্য ধর্ম হয়ে মাথা উঁচু করে দাঁড়িয়ে থাকবে ইনশাআল্লাহ।",2,2,2,2,1
ইসলাম ধর্ম গ্রহণ করার জন্য ধন্যবাদ আলহামদুলিল্লাহ।,2,2,2,2,1
আমাদের রাসুলুল্লাহ সাঃ বলেছেন কিয়ামতে সব চাইতে বেশি হবে আমার উম্মত আলহামদুলিল্লাহ,1,2,2,2,2
আলহামদুলিল্লাহ আমি গর্বিত আমি মুসলিম,2,2,2,2,1
সবাই কে সত্যি শান্তির ধর্ম ইসলাম আলহামদুলিল্লাহ,2,2,2,2,1
"আলহামদুলিল্লাহ,, ইসলামের সুবাতাস ছরিয়ে পরুক পৃথিবীর সকল রাষ্ট্র ও মানুষের মনে,,,লা ইলাহা ইল্লাল্লাহু মুহাম্মাদুর রাসুলুল্লাহ সাঃ",1,2,2,2,1
আমাদের ইসলাম এমন একটা ধর্ম যা নিয়ে অল টাইম বিধর্মীরা গবেশনা করে।এই ধর্মে জন্মে আমি ধন্য।আমিন,2,2,2,2,1
আল্লাহ ৫০ সাল পরযুন্ত যেন বেঁচে থাকি। যেন আমার শান্তির ধর্মের সংখ্যা বেশি দেখে যেতে পারি।,2,2,2,1,2
কেউ সত্য খুঁজতে গেলে ইসলামকেই পাবে আর ইসলাম ধর্ম গ্রহণ করবে এটাই স্বাভাবিক।,2,2,2,2,1
"আল্লাহ সমস্ত মানুষ কে ইসলামের ছায়াতলে আশ্রয় নেবার তৌফিক দান করুন, আমিন সুম্মা আমিন",2,2,2,1,1
আলহামদুলিল্লাহ্ একমাত্র শান্তির ধর্ম ইসলাম সকল বেধর্মী গণকে ইসলাম ধর্মের সুস্বাগতম আর যারা ইসলাম ধর্ম গ্রহণ করেছেন তাদের জন্য অনেক অনেক দোয়া ও শুভকামনা ভালোবাসা আল্লাহ তাদেরকে কবুল করুন,2,2,2,2,1
বহুত বছর পরে ৭১ টিভি চ্যানেলে ভালো একটা সংবাদ পেলাম বিশেষ করে ৭১ টেলিভিশনে ইসলামের সংবাদ গুলো কম শুনতে পাই তাই আমার ইসলাম প্রচার করার জন্য ৭১ টেলিভিশনকে অনেক ধন্যবাদ,2,2,2,2,1
"একেই বলে ইসলামের শরিয়া আইন আলহামদুলিল্লাহ, ইনশাআল্লাহ আল্লাহ তাদের বিকল্প কিছু ব্যাবস্তা করে দিবেন যা আফগানিস্তানের জনগনের জন্য উত্তম হবে",2,2,2,1,1
হে আল্লাহ তুমি আফগানিস্তানের প্রতি তোমার খাছ রহমত নাজিল কর।,2,2,1,1,2
আল্লাহ আমার তালেবান মুজাহিদদের সকল ক্ষেত্রে কামিয়াবী দান করুন,2,2,2,1,1
আফগানিস্তানের দিকে তাকালে মনে হয় পৃথিবীতে যেনো খুব শীগ্রই ইসলামের সুবাতাস বইতে শুরু করবে। (আলহামদুলিল্লাহ),2,2,1,2,1
বিশ্বের মধ্যে ইসলামীক শাষন ব্যবস্হা প্রকৃত অর্থে আফগানিস্তানে শুরু হয়েছে আলহামদুলিল্লাহ,2,1,1,2,1
পৃথিবীর একমাত্র দেশ আফগানিস্তান যেখানে প্রকৃত শরীয়া আইন চালু আছে,2,1,1,2,2
আমার বাংলাদেশ কে ইসলামের আলোয় আলোকিত করও আল্লাহ।,2,1,1,2,1
সদ্য স্বাধীন ইসলামিক আমিরাত এর খবর শুনতে ভাল লাগে.,2,2,1,2,2
আলহামদুলিল্লাহ।।। নিশ্চয়ই আল্লাহ তাআলা ঈমানদারদের হেফাজতকারি,2,2,2,1,2
আল্লাহ্ আপনি আফগান দের কাজের বরকত দেন। রিযিক এ বরকত দেন ! আফগান সরকার কে সাহায্য করেন !,2,2,2,1,1
আল্লাহর আইন হিন্দু মুসলিম সবার জন্যই নিরাপদ। তাই আল্লাহর আইন প্রতিষ্ঠায় সবাইকে এক যোগে কাজ করতে হবে।,2,1,2,1,1
আল্লাহ তায়ালা আফগানিস্তানের উপর রহমত করুন,2,2,1,1,2
"ইসলামের শাসন প্রতিষ্ঠিত হলে দুনিয়ায় অবশ্যই শান্তি প্রতিষ্ঠিত হয়।ইসলাম হলো শান্তির ধর্ম,সহমর্মিতার ধর্ম, ন্যায়পরায়নতার ধর্ম এবং মহান আল্লাহর একমাত্র মনোনীত শাশ্বত জীবন বিধান।আমি গর্বিত একজন মুসলিম হয়ে।",2,2,2,2,1
আলহামদুলিল্লাহ কুরআনের আইন প্রতিষ্ঠিত হলে সফলতার জন্য আল্লাহর রহমত ওই যথেষ্ট।,2,1,2,1,2
"আমাদের দেশের কি পরিস্থিতি বিরাজমান সকলেই অবগত, দেশপ্রেমিক সকলেরই উচিৎ আমাদের এখানে ও কি ভাবে ইসলামী শাসনব্যবস্থা কায়েম করা যায় সেই দিকটা ভাবা।",2,1,2,2,1
"আলহামদুলিল্লাহ, আমরাও অপেক্ষায় রইলাম কোনো এক তালেবিয়ান শক্তির আগমনের জন্য।",2,2,2,2,1
"আল্লাহ ' তায়ালর বিধান অনুযায়ী দেশ পরিচালনা করলে,,, তারাতাড়ি দেশে অনেক উন্নয়ন হবে।",2,1,2,1,2
আমরা জানি ইসলাম কতটা শান্তি র ধর্ম এই ইসলামের ছায়াতলে যে রাষ্ট্র যাবে সে পরম শান্তি লাভ করবে এটা চিরন্তন সত্য কথা আমরা মুসলমান এটি বিশ্বাস করি একদিন ইসলামের জয় হবেই ইনশাআল্লাহ,2,2,2,2,1
মুসলমান হিসেবে সৌদি আরব কে সবচেয়ে ভালো বাসি।,2,2,1,2,1
আল্লাহ তুমি ফিলিপাইনের প্রেসিডেন্ট কে হায়াত বাড়িয়ে দাও,2,2,1,1,2
ধন্যবাদ ফিলিপাইনের প্রেসিডেন্টকে আল্লাহ তাকে হেফাজত করুন আমিন,2,2,1,1,2
এটা একটা ভাল উদ্যোগ হিন্দু খ্রীষ্টান মুসলমানের ভিতরে বিভাগ আর রইল না এটাকে বলে মানবতা,2,1,2,2,1
অনেক অনেক ধন্যবাদ ফিলিপিন সরকারের প্রতি যে তিনি মুসলমানদের পবিত্র দিনের প্রতি সম্মান প্রদর্শন করেছেন।,2,2,1,2,1
ফিলিপাইনে ২০২৩ সালে এসে মুসলিমরা ধর্মীয় উৎসবে ছুটি পাচ্ছে দেখে অবাক লাগছে।অথচ সেখানে ৫ পারসেন্ট মুসলিম।,2,1,1,2,1
আলহামদুলিল্লাহ আল্লাহ ফিলিপাইনের মানুষ কে ইসলামের জন্য কবুল করুন,2,2,1,2,1
দুঃখের বিষয় তো এটাই যে তুরস্ক মিসর সৌদি ইরানের মতো শক্তি সালি দেশ থাকতেও আজ ফিলিস্তিন সিরিয়ার এই অবস্থা। হে আল্লাহ তুমি সকল মুসলমানদের ঐক্য প্রতিষ্ঠা করে দাও,2,2,1,1,1
আলহামদুলিল্লাহ্ তুরস্ক অনেক শক্তিশালী,2,2,1,2,2
"মিসরিয়দের সত্যিকারের মুসলিম হওয়ার জন্য দোয়া করি,,,, তাহলেই ইনশাল্লাহ অন্য একটা মুসলিম দেশের উপর জুলুম কমে যাবে",2,2,1,2,1
আমরা কখনো ইসরায়েল কে রাষ্ট্র হিসেবে দেখি না ওরা অন্য দেশের মানুষ মারে নিজের কে শক্তি বাবে ওদের খুব তারাতারি পরাজয় হবে ইনশাআল্লাহ ফিলিস্তিন ভাইয়ের জন্য দুয়া ও ভালো ভাসা রইল,2,2,3,2,2
বাংলাদেশের দেশে আছে আল্লাহর রহমত।,2,2,1,1,2
ইরান বা তুর্কি সবার উপরে যাবে ইনশাআল্লাহ,2,2,1,2,2
আল্লাহ তুমি সব মুসলিম নেতাদের ঐক্যবদ্ধ করে দাও-আমিন,2,2,2,1,1
"ভারতে আরেকটি মুসলিম রাষ্ট চাই,,, একনয় সুযোগ",2,2,2,1,1
সহি আকিদার ছেলে মেয়ে পাওয়া অনেক কঠিন,2,3,2,2,2
এই হুজুরের ওয়াজ গুলো খুব সুন্দর। উনি যে কোন বিষয় অনেক সুন্দর করে বুঝান,2,1,2,2,2
তুরস্ক বর্তমান বাংলাদেশের মতোই। ইসলামিক দৃষ্টি থেকে। এমন যে হইছে এতেই আলহামদুলিল্লাহ।,2,2,2,1,2
"আল্লাহ, আমিও মনে করতাম মুসলিম দেশ।",2,2,2,2,2
আসলে আপনার কথা শুনে দু'একটা কথা না বলে পারছি তুরস্ক দেশটা যেমনই মুসলিম হোক আরো মুসলিম হোক আমরা কিন্তু সব সময় দেখি তুরস্ক সবসময় মুসলমানদের পাশে থাকে,2,2,1,2,1
কই আরো অনেক মুসলমান দেশ আছে তারাতো তুরস্কের মত সবসময় মুসলমানদের পাশে থাকেনা কোন কথাই আরো উল্টা মুসলমানদের পাশে না থেকে মুসলমানদের বিরুদ্ধে কথা বলে এমন দেশ আছে তবে তুরস্ক বাংলাদেশের পাশে ছিল বাংলাদেশের পাশে থাকবে,2,2,1,2,1
ইরান মুসলিম দেশ।,2,2,1,2,2
লিবিয়ায় মানুষ গুলো খুবই ভালো।,2,2,1,2,2
"আলহামদুলিল্লাহ, দীর্ঘদিন লিবিয়াতে ছিলাম। আমার প্রিয় একটি দেশ লিবিয়া,অনেক প্রিয় স্বপ্ন গুলো এখনো চোখে ভাসে।",2,2,1,2,2
"ইসলামের মহান বন্ধু প্ররাক্রমশালী প্রেসিডেন্ট মুয়াম্মার আল গাদ্দাফীর জন্য দোয়া রইলো""",2,2,2,2,1
হে আল্লাহ তুমি গাদ্দাফিকে জান্নাতুল ফেরদৌস দান করুন আমিন,2,2,2,2,2
হুম খুব মিস করি আমার প্রথম প্রবাস জীবনের দেশ লিবায়াকে সাড়ে তিন বছর ছিলাম তারপর এখন আমার পছন্দের দেশ ইতালিতে আছি আলহামদুলিল্লাহ।,2,2,1,2,2
আলহামদুলিল্লাহ ব্রুনাইতে ১৬ দিন ধরে আছি খুবই শান্তি পূর্ণ একটি দেশ।,2,2,1,2,2
আমি এখনো ব্রুনেই বসবাস করছি শান্তির একটা দেশ।ব্রুনেই দারুসসালাম,2,2,1,2,2
মাশাল্লাহ আলহামদুলিল্লাহ বিচারব্যবস্থা গুলা খুবই ভালো ব্রুনাইতে,2,2,1,2,2
ব্রুনাইয়ের উচিত যতোতারাতারি সম্ভব সামোরিক শক্তি হাজার গুন বৃদ্ধি করা।। তাহলেই ব্রুনাই রক্ষা পাবে ইনশাআল্লাহ।।,2,2,1,2,2
সুন্নি মোসলিম সুনে খুশি হলাম খোদা যেন তাদের কে নেক আয়ো ধান করেন আমিন।।,2,2,2,2,1
কোরআনের বিধান মেনে চলার কারনেই আললাহ তাদের জন্য সব নেয়ামত দিয়েছেন সুবহানাল্লাহ,2,1,2,1,2
মুসলিম বিশ্বে এত সুন্দর একটি রাষ্ট্র আমাকে খুব মুগ্ধ করেছে আপনাকে অসংখ্য ধন্যবাদ ভিডিওটি আমাদের উপস্থাপন করার জন্য,2,2,2,2,1
মনে হয় দুনিয়ার জান্নাত! হে আল্লাহ সমস্ত মুসলিম দেশগুলো শান্তি ও নিরাপত্তার কেন্দ্র বানিয়ে দিন।,2,2,1,1,2
মাশাআল্লাহ দেশটা খুবই সুন্দর এমন আইন যদি আমাদের বাংলাদেশে দেশে দেওয়া হতো তাহলে আজকে বাংলাদেশ জাহান্নামে থাকতো না,2,2,1,2,2
মাশাআল্লাহ খুব সুন্দর একটা দেশ মঙ্গোলিয়া,2,2,1,2,2
মাশাল্লাহ অনেক সুন্দর দেশ তুরকেেমেনিসতান,2,2,1,2,2
"খুব খুব সুন্দর লাগলো ভাই,মুসলিমেরা যদি ভালো থাকেন তাহলে খুব ভালো লাগে,যাই হোক ভালো থাকবেন আল্লা হাফেজ",2,2,2,2,1
তুর্কিদের দ্বারাতেই আলবেনিয়াতে ইসলাম পৌছে। এখন এই দেশ ৫০%এর উপরে মুসলিম আছে।,2,2,1,2,1
কোন দেশ নিজ দেশকে নাস্তিক দেশ হিসাবে ঘোষনা করতে পারে না। কিছু ইতিহাস বর্ণনা করে নিজের মতো করে একটা দেশকে নাস্তক দেশ বানানোতে কোন লাভ নেই।,2,2,3,2,2
"হোক প্রতিবাদ, ধর্ম আছে বলেই দুনিয়াতে ইনসাফ আছে, ধন্যবাদ",2,2,2,2,2
আলবেনিয়া মুসলিম মেজরিটি কান্ট্রি এখনো উইকিপিডিয়া তে দেখলাম।।,2,2,1,2,1
ধর্ম টিকে আছে বলেই আজও পৃথিবী টিকে আছে।,2,2,2,2,2
এখন যথেষ্ট ধর্মীয় কার্যকলাপ আলবেনিয়ায় চালু আছে। ধর্মীয় নিষেধাজ্ঞা বর্তমানে নেই।,2,1,1,2,2
মুসলিম বিশ্বে প্রথম হয়েছিল তুরস্ক,2,2,1,2,2
বাংলাদেশ একটি মুসলিম সংখ্যাগরিষ্ঠ রাষ্ট্র। এখানকার জনগণ নাস্তিকতাকে ঠেকাতে ও প্রতিহত করতে জানে।,2,2,1,2,1
এনবার হোজ্জার লেনিনের ভাঙ্গা মূর্তি নয় মুসলিম আইডেন্টিটি নিয়েই আলবেনিয়ানরা ইউরোপে মাথা তুলে দাঁড়িয়ে আছে,2,2,1,2,1
আলবেনিয়ার বড় শহরগুলোর ২০২৩ সালের ঈদ জামাতের ছবি,2,1,1,2,2
আলহামদুলিল্লাহ আমি একজন মুসলিম ইসলাম জিন্দাবাদ নাস্তিকতা ধর্মবিরোধিতা নিপাত জাক,2,2,2,2,1
সনাতন একদিন বিশ্ব শাসন করবে জয় শ্রী রাম,2,2,2,2,1
আলবেনিয়াতে মসজিদের অভাব নেই।,2,2,1,2,2
"আফগানিস্তান, ইরান, আগে হিন্দুদের ছিলো, এখন মুসলিম দেশ হইলো",2,2,1,2,2
"মুসলিম দেশ ও যে শিক্ষিত হতে পারে , সেটা আলবেনিয়া কে দেখলেই বোঝা যায়,",2,2,1,2,2
"সম্প্রতি নয়, তিনি প্রায় ৩বছর আগে ইসলাম গ্রহণ করেছেন এবং ইসলাম গ্রহণের পর অধিকাংশ সময় মধ্যপ্রাচ্যের দেশগুলোতেই ছিলেন।",2,2,1,2,1
"এখন আলবেনিয়ায় মুসলিমরাই আবার সংখ্যাগুরু।
এই ব্যাপারটা পোস্টে উল্লেখ জরুরী ছিল।
নাহয় আংশিক জেনে পোস্ট করা উচিত না।",2,2,1,2,1
"আসসালামু আলাইকুম ভাই।
গতকাল কথা হইছে দাউদ কিমের সাথে, আলহামদুলিল্লাহ! খুবই আন্তরিক আর শোনতে আগ্রহী।",2,2,2,2,2
আপনাদেরকে আল্লাহ তায়া’লা কবুল করে নিক।,2,2,2,1,2
"মাশা আল্লাহ।
আল্লাহ তায়া’লা দাউদ কিম কে দুনিয়া লোভী ইউটিউবার দের থেকে হেফাজতে রাখুক। সঠিক ইসলামের পথ অনুসরণ করার তাওফিক দান করুক।",2,2,2,1,2
"চীন,রাশিয়া, ইরান,সৌদিয়া, কাতার, আমিরাত এসব দেশগুলো এক হলে আমেরিকা ও পশ্চিমা বিশ্বকে ঠেকানো যাবে।",2,2,1,2,2
মাশাল্লাহ। ধন্যবাদ শেখ আব্দুল্লাহ মনসুর আপনাকে। দৃঢ় মনোবল এবং নিষ্ঠা থাকলে আন্তর্জাতিক পরিমণ্ডলেও ইসলামের সেবা করা সম্ভব।,2,2,2,2,1
"চীন কে অভিনন্দন ও সম্মান জানাই , ইরান ও সৌদি আরব সহ মুসলিম দের ঐক্যবদ্ধ করতে সহযোগিতা করার জন্য । আশা করি চীন দ্রুত ই "" উইঘুর মুসলিম "" দের উপরে নির্যাতন বন্ধ করবে।",2,2,1,2,1
"শুধু চার দেশ কেন, বিশ্বের প্রত্যেকটা মুসলিম দেশ নিয়ে একটা সামরিক বাহিনী গঠন করতে হবে।যার কাজ হবে মুসলিমদের স্বার্থ রক্ষা করা।",2,2,1,2,1
"মুসলিম দেশ গুলো, সব গুলো যদি এক হয়ে OIC force বা সামরিক বাহিনী গঠন করতেন আরো ভালো হতো।",2,2,2,2,1
"আরব দেশগুলো ন্যাটোর চেয়ে আরো শক্তিশালী সামরিক সংঘটন করতে হবে । ইরানকে আরো শক্তিশালী দেশ হতে হবে + পারমাণবিক বোমা তৈরি করতে হবে খুব তাড়াতাড়ি ইনশাআল্লাহ + রাশিয়া, চীনের সাথে সামরিক ঘাঁটি গরে তুলতে হবে",2,2,1,2,2
পৃথিবীর সকল মুসলিম দেশকে এক হয়ে যেতে হবে তাহলে কেউ কখনো কিছু করতে পারবে না ইনসিআল্লাহ,2,2,1,2,1
ইউগোর মুসলিমদের নিরাপত্তা চাই,2,2,1,2,1
"ও,আই সির ৫৭টি মুসলিম দেশ ন্যাটোর মতো সামরিক বাহিনী থাকা উচিৎ। প্রত্যেক দেশ থেকে প্রয়োজন মতো অস্ত্র এবং সেনাবাহিনী নিয়ে একটা শক্তিশালি বাহিনী রাখা এখন সময়ের দাবী।",2,2,1,2,2
আরব দেশ গুলো ইচ্ছা করলে সন্ত্রাসী ইসরাইল থেকে স্বাধীন ফিলিস্তিন কে মুক্ত করতে পারে,2,2,1,2,2
ভয় নয়....আল্লাহর উপর আস্থা রেখে আপনি আপনার গন্তব্যে পৌঁছাতে চেষ্টা করে যান ইনশাআল্লাহ বিজয় বেশেই আপনি একদিন ঘরে ফিরবেন....আমরা আপনার জন্য দোয়া করি....!,2,2,2,1,2
এই যুদ্ধের সমাপ্তি মানেই কেয়ামতের আলামত,2,2,2,2,2
মানব কল্যাণে সারা বিশ্বে অতিদ্রুতই ধর্ম নিয়ে রাজনীতি বা ব্যবসার সমাপ্তি প্রয়োজন।,2,1,2,2,2
ভবিৎষ্যতে ইসলামী খিলাফাত প্রতিষ্ঠার জন্য আরব বসন্তের গুরুত্ব অপরিসীম।,2,1,2,2,2
আমরা ভারতবর্ষ তুলনামূলক ভালো ও শান্তিতেই আছি।(পাকিস্তান বাদে),2,2,1,2,2
মহাকাশ গবেষণায় মুসলিমরা এগিয়ে যাক এই প্রত্যাশা করি,2,2,2,2,1
মধ্য এশিয়ার মুসলিম দেশ উজবেকিস্তান আঞ্চলিক পরাশক্তি হয়ে উঠছে |,2,2,1,2,2
যত দিন এগোচ্ছে ধীরে ধীরে মুসলিম দেশগুলো আবারও অর্থনৈতিক সামরিক ও কূটনৈতিকভাবে শক্তিশালী হয়ে উঠছে এটা আমাদের মুসলিমদের জন্য বড় সুখবর,2,2,1,2,1
যারা যারা চান মুসলমানরা পরাশক্তি হয়ে উঠুক তারা লাইক দিয়ে যাবেন।,2,2,2,2,1
ইমাম আল বুখারীর কবর উজবেকিস্থানের সমরখন্দে । যিনি ইসলাম ধর্মে অনেক গুরুত্বপূর্ণ মানুষরে মধ্যে একজন।,1,2,2,2,1
